app_id,game_name,player_count,game_id
1245620,Elden Ring,34935,1245620
1086940,Baldur's Gate 3,59532,1086940
730,Counter-Strike 2,1098570,730
2357570,Overwatch 2,66647,2357570
2767030,Marvel Rivals,73090,2767030
1091500,Cyberpunk 2077,69878,1091500
275850,No Man's Sky,9066,275850
578080,PUBG: BATTLEGROUNDS,562118,578080
1938090,Call of Duty HQ,27317,1938090
553850,Helldivers 2,33668,553850
292030,The Witcher 3,21537,292030
489830,Skyrim SE,30589,489830
2054970,Dragon's Dogma 2,1930,2054970
377160,Fallout 4,13538,377160
1172470,Apex Legends,229688,1172470
1085660,Destiny 2,26841,1085660
359550,Rainbow Six Siege,57226,359550
1517290,Battlefield 2042,1479,1517290
440,Team Fortress 2,55526,440
444090,Paladins,1084,444090
1097150,Fall Guys,498,1097150
2215430,Ghost of Tsushima,3567,2215430
1593500,God of War,2376,1593500
1174180,Red Dead Redemption 2,32569,1174180
601150,Devil May Cry 5,1530,601150
281990,Stellaris,12859,281990
289070,Sid Meier's Civilization VI,39630,289070
1142710,Total War: WARHAMMER III,27325,1142710
1466860,Age of Empires IV,13173,1466860
252490,Rust,140411,252490
346110,ARK: Survival Evolved,23276,346110
892970,Valheim,18144,892970
242760,The Forest,4063,242760
